codigo;chegada;start;espera;finish;Tempo de ciclo<BR>estimado;cor;Situação texto;Situação codigo;máquina;
1841;2022-05-26 16:11:23,350342;2022-05-27 09:00:07,908086;16:48:44,557744;2022-05-27 14:13:30,216698;05:13:22,308612;7CFF78;Atendido;2;2
1832;2022-05-25 20:21:54,502735;2022-05-25 20:31:37,870165;00:09:43.36743;2022-05-25 20:39:28,582268;00:07:50.712103;FF5E00;Problema durante a execução - Atendido em partes;4;2
1831;2022-05-25 15:28:34,17316;2022-05-25 20:33:04,864549;05:04:30,691389;2022-05-25 20:38:00,229152;00:04:55.364603;FF7D7D;Cancelado / Não atendido;5;2
1829;2022-05-25 14:33:17,553597;2022-05-25 17:54:44,608185;03:21:27,054588;2022-05-25 17:57:42,287657;00:02:57.679472;FF7D7D;Cancelado / Não atendido;5;2
1830;2022-05-25 14:42:17,36053;2022-05-25 14:42:54,77236;00:00:37.41183;2022-05-25 15:06:03,625611;00:23:08.853251;7CFF78;Atendido;2;1
1826;2022-05-24 20:28:17,714506;2022-05-24 20:57:58,566817;00:29:40.852311;2022-05-25 14:42:48,813795;17:44:50,246978;7CFF78;Atendido;2;1
1828;2022-05-25 12:28:49,133381;2022-05-25 13:53:36,690539;01:24:47,557158;2022-05-25 14:15:39,8311;00:22:03.140561;7CFF78;Atendido;2;2
1827;2022-05-24 20:59:43,838076;2022-05-25 08:25:07,962406;11:25:24,12433;2022-05-25 08:32:04,44294;00:06:56.480534;7CFF78;Atendido;2;2
1817;2022-05-24 17:36:49,267419;2022-05-24 19:16:51,953847;01:40:02,686428;2022-05-24 22:00:25,004032;02:43:33,050185;7CFF78;Atendido;2;2
1824;2022-05-24 20:28:05,606345;2022-05-24 20:38:54,61573;00:10:49.009385;2022-05-24 20:57:00,232808;00:18:05.617078;7CFF78;Atendido;2;1
1823;2022-05-24 19:57:34,606449;2022-05-24 20:38:49,283651;00:41:14.677202;2022-05-24 20:53:53,78045;00:15:04.496799;7CFF78;Atendido;2;1
1822;2022-05-24 19:56:49,048059;2022-05-24 20:38:45,937395;00:41:56.889336;2022-05-24 20:53:21,479646;00:14:35.542251;7CFF78;Atendido;2;1
1821;2022-05-24 19:56:18,810587;2022-05-24 20:38:41,630248;00:42:22.819661;2022-05-24 20:53:07,571433;00:14:25.941185;7CFF78;Atendido;2;1
1820;2022-05-24 19:56:13,348232;2022-05-24 20:31:12,303676;00:34:58.955444;2022-05-24 20:52:49,444235;00:21:37.140559;7CFF78;Atendido;2;1
1819;2022-05-24 19:54:52,892788;2022-05-24 20:19:28,823375;00:24:35.930587;2022-05-24 20:52:37,971624;00:33:09.148249;7CFF78;Atendido;2;1
1818;2022-05-24 19:54:15,59114;2022-05-24 20:04:40,444469;00:10:24.853329;2022-05-24 20:52:26,537189;00:47:46.09272;7CFF78;Atendido;2;1
